Reading_Zhou	Reading_Baxter	Pinyin	Fanqie	Segments	Structure	Gloss	Guangyun_ID
gʰ ĭ e ˩	gjeX	! jì / qí	巨支切	g j e /²	i m n t	skill	w118b0603
gʰ ĭ e ˩	gjie	qí	巨支切	g j/ji e /¹	i m n t	earth spirit	w118b0104
gʰ ĭ e ˩	gjie	qí	巨支切	g j/ji e /¹	i m n t	forked (road)	w118b0301
gʰ ĭ e ˩	ngjeX	! yǐ / qí	渠羈切	ŋ j e /²	i m n t	cooking pot	w118b0103
gʰ ĭ e ˩	zyijH	! shì / qí	巨支切	ʑ i j /³	i n c t	show (v.)	w118b0105
gʰ ĭ e ˩˥	gje	! qí / jì	奇寄切	g j e /¹	i m n t	straddle; ride	w405a0502
gʰ ĭ e ˩˥	gjeH	! qí / jì	奇寄切	g j e /³	i m n t	rider	w405a0502
gʰ ĭ o ˥	gjoX	jù	其吕切	g j o /²	i m n t	cakes	w313b0401
gʰ ĭ o ˩	gjo	qú	強魚切	g j o /¹	i m n t	canal	w130a0206
gʰ ĭ o ˩˥	gjoH	jù	其據切	g j o /³	i m n t	post horse or carriage	w412b1003
gʰ ĭ u ŋ ˩	gjuwng	qióng	渠弓切	g j u ŋʷ /¹	i m n c t	exhaust	w109b0602
gʰ ĭ u ŋ ˩	gjuwng	qióng	渠弓切	g j u ŋʷ /¹	i m n c t	poor	w109b0602
gʰ ĭu ə n ˩	gjun	qún	渠云切	g j u n /¹	i m n c t	flock, herd, group	w152a0401
gʰ ĭu ə t	gjut	jué	衢物切	g j u t /⁴	i m n c t	dig out (earth)	w515b0507
gʰ ĭu ə t	gjut	jué	衢物切	g j u t /⁴	i m n c t	strong, unyielding	w515b0404
gʰ ĭu ə t	gjwot	jué	衢物切	g ɥ o t /⁴	i m n c t	dig out (earth)	w515b0507
gʰ ĭu ə t	khwot	! kū / jué	衢物切	kʰ w o t /⁴	i m n c t	hole	w515b0505
gʰ ĭ u ˩	gju	qú	其俱切	g j u /¹	i m n t	decoration on the toe of a shoe	w134a0202
gʰ ĭ u ˩	kjuH	! jù / qú	其俱切	k j u /³	i m n t	phrase	w133b0904
gʰ ĭ u ˩	kuw	! gōu / qú	其俱切	k u w /¹	i n c t	curved	w133b0904
gʰ ĭ u ˩	kuwH	! gòu / qú	其俱切	k u w /³	i n c t	curved	w133b0904
gʰ ĭ u ˩˥	gjuH	jù	其遇切	g j u /³	i m n t	arrange, provide	w414b0102
gʰ ĭ u ˩˥	gjuH	jù	其遇切	g j u /³	i m n t	fear (v.)	w414b0101
gʰ ĭw a ŋ ˩	gjwang	kuáng	巨王切	g ɥ a ŋ /¹	i m n c t	mad, reckless	w224b0203
gʰ ĭw a ŋ ˩˥	gjwang	kuáng	渠放切	g ɥ a ŋ /¹	i m n c t	mad, reckless	w445a0402
gʰ ĭw e ˥	gjweX	guì	渠委切	g ɥ e /²	i m n t	kneel; foot	w307b0905
gʰ ĭw o k	gjowk	jú	渠玉切	g j o kʷ /⁴	i m n c t	bent, curved	w508a0903
gʰ ĭw o k	gjowk	jú	渠玉切	g j o kʷ /⁴	i m n c t	department	w508a0903
gʰ ĭw o ŋ ˩˥	gjowngH	gòng	渠用切	g j o ŋʷ /³	i m n c t	together, all	w403b1002
gʰ ĭw ĕ n ˥	gwinX	! jùn / jiǒng	渠殞切	g w i n /²	i m n c t	mushroom	w322b0506
gʰ ĭw ɐ n ˥	gjwen	! quán / 	求晩切	g ɥ e n /¹	i m n c t	handsome	w325a0401
gʰ ĭw ɐ n ˥	gwinX	! jùn / 	求晩切	g w i n /²	i m n c t	mushroom	w325a0303
gʰ ĭw ɐ n ˥	kjwenX	! juǎn / 	求晩切	k ɥ e n /²	i m n c t	roll (v.)	w325a0401
gʰ ĭw ɐ t	gjut	! jué / guì	其月切	g j u t /⁴	i m n c t	dig out (earth)	w516b0805
gʰ ĭw ɐ t	gjwot	! jué / guì	其月切	g ɥ o t /⁴	i m n c t	dig out (earth)	w516b0805
gʰ ĭw ɛ n ˥	gjwienX	yuān	狂兖切	g ɥ/jwi e n /²	i m n c t	crawl (as an insect); soft, bending	w331b0901
gʰ ĭw ɛ n ˥	ʔjwienX	yuān	狂兖切	ʔ ɥ/jwi e n /²	i m n c t	crawl (as an insect); soft, bending	w331b0901
gʰ ĭw ɛ n ˥	ʔwen	yuān	狂兖切	ʔ w e n /¹	i m n c t	crawl (as an insect); soft, bending	w331b0901
gʰ ĭw ɛ n ˩	gjwen	quán	巨貟切	g ɥ e n /¹	i m n c t	fist (‹ rolled-up hand)	w206b1001
gʰ ĭw ɛ n ˩	gjwen	quán	巨貟切	g ɥ e n /¹	i m n c t	handsome	w207a0204
gʰ ĭw ɛ n ˩	gjwen	quán	巨貟切	g ɥ e n /¹	i m n c t	handsome (hair?)	w207a0303
gʰ ĭw ɛ n ˩	gjwen	quán	巨貟切	g ɥ e n /¹	i m n c t	weight of a steelyard	w206b0903
gʰ ĭw ɛ n ˩	kjwenX	! juǎn / quán	巨貟切	k ɥ e n /²	i m n c t	roll (v.)	w207a0204
gʰ ĭ ĕ m ˩	gim	qín	巨金切	g i m /¹	i n c t	bird; animal	w245a0401
gʰ ĭ ĕ m ˩	gim	qín	巨金切	g i m /¹	i n c t	catch, capture	w245a0401
gʰ ĭ ĕ m ˩	gim	qín	巨金切	g i m /¹	i n c t	lute	w245a0205
gʰ ĭ ĕ m ˩	limX	! lǐn / qín	巨金切	l i m /²	i n c t	cold	w245a0504
gʰ ĭ ĕ n ˩	gin	! jǐn / 	巨巾切	g i n /¹	i n c t	time, season	w148a1004
gʰ ĭ ĕ n ˩	gin	! qín / 	巨巾切	g i n /¹	i n c t	clay	w148a1004
gʰ ĭ ĕ n ˩	ginH	! jìn / 	巨巾切	g i n /³	i n c t	bury	w148a1005
gʰ ĭ ĕ n ˩	ginH	! jìn / 	巨巾切	g i n /³	i n c t	plaster (v.)	w148a1005
gʰ ĭ ĕ n ˩	kjɨnX	! jǐn / 	巨巾切	k j ɨ n /²	i m n c t	(a kind of vegetable)	w148a1004
gʰ ĭ ĕ n ˩˥	ginH	! jìn / jǐn	渠遴切	g i n /³	i n c t	barely	w428a1003
gʰ ĭ ĕ n ˩˥	ginH	! jìn / jǐn	渠遴切	g i n /³	i n c t	bury	w428b0108
gʰ ĭ ĕ n ˩˥	ginH	! jìn / jǐn	渠遴切	g i n /³	i n c t	famine	w428b0104
gʰ ĭ ĕ n ˩˥	ginH	! jìn / jǐn	渠遴切	g i n /³	i n c t	plaster (v.)	w428b0108
gʰ ĭ ĕ n ˩˥	ginH	jǐn	渠遴切	g i n /³	i n c t	die of starvation	w428b0102
gʰ ĭ ĕ p	gip	jí	其立切	g i p /⁴	i n c t	reach	w543b0503
gʰ ĭ ɐ k	gjæk	! jī / jù	奇逆切	g j æ k /⁴	i m n c t	wooden sandal	w532b0705
gʰ ĭ ɐ t	gjet	! jié / 	其謁切	g j e t /⁴	i m n c t	exhaust (v.)	w517a0708
gʰ ĭ ɐ t	gjet	! jiē / 	其謁切	g j e t /⁴	i m n c t	lift, raise	w517a0707
gʰ ĭ ɐ t	gjot	! jiē / 	其謁切	g j o t /⁴	i m n c t	lift	w517a0707
gʰ ĭ ɐ t	khjejH	! jiē / 	其謁切	kʰ j e j /³	i m n c t	lift up one’s clothes	w517a0707
gʰ ĭ ɐ t	khjet	! jiē / 	其謁切	kʰ j e t /⁴	i m n c t	lift	w517a0707
gʰ ĭ ɐ t	kjot	! jiē / 	其謁切	k j o t /⁴	i m n c t	lift	w517a0707
gʰ ĭ ɐ ŋ ˩	gjæng	! jīng / qíng	渠京切	g j æ ŋ /¹	i m n c t	whale	w229a0405
gʰ ĭ ɐ ŋ ˩˥	gjængH	jìng	渠敬切	g j æ ŋ /³	i m n c t	strive; compete	w446a0202
gʰ ĭ əi ˩	gjɨj	qí	渠希切	g j ɨ j /¹	i m n c t	[not in GSR:] leech	w129a0404
gʰ ĭ əi ˩	gjɨj	qí	渠希切	g j ɨ j /¹	i m n c t	banner; flag	w129a0105
gʰ ĭ əi ˩	kjɨj	! jī / qí	渠希切	k j ɨ j /¹	i m n c t	small; almost	w129a0401
gʰ ĭ əi ˩	kjɨjX	! jǐ / qí	渠希切	k j ɨ j /²	i m n c t	few; how many	w129a0401
gʰ ĭ əi ˩	ngjɨn	! yín / qí	渠希切	ŋ j ɨ n /¹	i m n c t	raised border, dike	w129a0206
gʰ ĭ əi ˩	zriX	! sì / qí	渠希切	ʐ i /²	i n t	move on	w129a0304
gʰ ĭ əi ˩	zriX	! sì / qí	渠希切	ʐ i /²	i n t	wait	w129a0304
gʰ ĭ əi ˩˥	kjɨj	! jī / jì	其旣切	k j ɨ j /¹	i m n c t	small; almost	w412a0702
gʰ ĭ əi ˩˥	kjɨjX	! jǐ / jì	其旣切	k j ɨ j /²	i m n c t	few; how many	w412a0702
gʰ ĭ ə k	gik	jí	渠力切	g i k /⁴	i n c t	extreme	w540b0101
gʰ ĭ ə n ˥	gjɨnH	jìn	其謹切	g j ɨ n /³	i m n c t	be near to (v.t.)#	w324b0105
gʰ ĭ ə n ˥	gjɨnX	jìn	其謹切	g j ɨ n /²	i m n c t	near	w324b0105
gʰ ĭ ə n ˩	gjɨn	! jìn / qín	巨斤切	g j ɨ n /¹	i m n c t	courageous	w152b0702
gʰ ĭ ə n ˩	gjɨn	qín	巨斤切	g j ɨ n /¹	i m n c t	toil, diligent, devoted	w152b0603
gʰ ĭ ə n ˩	gjɨn	qín	巨斤切	g j ɨ n /¹	i m n c t	toil, diligent, devoted	w152b0701
gʰ ĭ ə n ˩˥	gjɨnH	jìn	巨靳切	g j ɨ n /³	i m n c t	be near to (v.t.)#	w430a0305
gʰ ĭ ə n ˩˥	gjɨnX	jìn	巨靳切	g j ɨ n /²	i m n c t	near	w430a0305
gʰ ĭ əu ˥	gjuwX	jiù	其九切	g j u w /²	i m n c t	MoBr	w346a0506
gʰ ĭ əu ˥	gjuwX	jiù	其九切	g j u w /²	i m n c t	fault, blame (n.)	w346a0703
gʰ ĭ əu ˥	gjuwX	jiù	其九切	g j u w /²	i m n c t	mortar	w346a0602
gʰ ĭ əu ˩	gjuw	! qiú / 	巨鳩切	g j u w /¹	i m n c t	'ball'?	w240b0604
gʰ ĭ əu ˩	gjuw	! qiú / 	巨鳩切	g j u w /¹	i m n c t	come together; mate (n.)	w240b0603
gʰ ĭ əu ˩	gjuw	! qiú / 	巨鳩切	g j u w /¹	i m n c t	fur garment	w240b0401
gʰ ĭ əu ˩	gjuw	! qiú / 	巨鳩切	g j u w /¹	i m n c t	mate *n.)	w240b0402
gʰ ĭ əu ˩	gjuw	! qiú / 	巨鳩切	g j u w /¹	i m n c t	seek	w240b0502
gʰ ĭ əu ˩	gwij	! kuí / 	巨鳩切	g w i j /¹	i m n c t	cheek bone, bones of the face	w240b0504
gʰ ĭ əu ˩˥	gjuwH	jiù	巨救切	g j u w /³	i m n c t	coffin (with corpse)	w449a0701
gʰ ĭ əu ˩˥	gjuwH	jiù	巨救切	g j u w /³	i m n c t	old	w449a0606
gʰ ĭ ə ˩	gi	! qī / qí	渠之切	g i /¹	i n t	period of time	w126b0201
gʰ ĭ ə ˩	gi	qí	渠之切	g i /¹	i n t	(3p possessive)	w126b0102
gʰ ĭ ə ˩	gi	qí	渠之切	g i /¹	i n t	black-mottled grey horse	w126b0603
gʰ ĭ ə ˩	gi	qí	渠之切	g i /¹	i n t	flag	w126b0301
gʰ ĭ ə ˩	gi	qí	渠之切	g i /¹	i n t	gray or bluish-black	w126b0501
gʰ ĭ ə ˩	gi	qí	渠之切	g i /¹	i n t	modal particle	w126b0102
gʰ ĭ ə ˩	gi	qí	渠之切	g i /¹	i n t	sandal cord	w126b0501
gʰ ĭ ə ˩	giH	qí	渠之切	g i /³	i n t	sandal cord	w126b0501
gʰ ĭ ə ˩˥	giH	jì	渠記切	g i /³	i n t	warn	w410b0201
gʰ ĭ ɛ m ˥	gjemX	jiǎn	巨險切	g j e m /²	i m n c t	restrict， frugal	w351b0402
gʰ ĭ ɛ m ˩	gjem	qián	巨淹切	g j e m /¹	i m n c t	pincers, tongs	w249b0101
gʰ ĭ ɛ n ˩	gjen	! qián / gān	渠焉切	g j e n /¹	i m n c t	kill; cut (v.)	w206b0505
gʰ ĭ ɛ n ˩	kan	gān	渠焉切	k a n /¹	i n c t	dry	w206b0504
gʰ ĭ ɛ t	gjet	! jiē / jié	渠列切	g j e t /⁴	i m n c t	lift, raise	w526a0504
gʰ ĭ ɛ t	gjet	jié	渠列切	g j e t /⁴	i m n c t	exhaust (v.)	w526a0407
gʰ ĭ ɛ t	gjet	jié	渠列切	g j e t /⁴	i m n c t	perch for fowls	w526a0406
gʰ ĭ ɛ t	gjet	jié	渠列切	g j e t /⁴	i m n c t	remarkable; hero	w526a0405
gʰ ĭ ɛ t	gjet	jié	渠列切	g j e t /⁴	i m n c t	remarkable; hero	w526a0406
gʰ ĭ ɛ t	gjot	! jiē / jié	渠列切	g j o t /⁴	i m n c t	lift	w526a0504
gʰ ĭ ɛ t	khat	! kě / jié	渠列切	kʰ a t /⁴	i n c t	thirsty	w526a0601
gʰ ĭ ɛ t	khjejH	! jiē / jié	渠列切	kʰ j e j /³	i m n c t	lift up one’s clothes	w526a0504
gʰ ĭ ɛ t	khjet	! jiē / jié	渠列切	kʰ j e t /⁴	i m n c t	lift	w526a0504
gʰ ĭ ɛ t	kjet	jié	渠列切	k j e t /⁴	i m n c t	lift, raise	w526a0406
gʰ ĭ ɛ t	kjot	! jiē / jié	渠列切	k j o t /⁴	i m n c t	lift	w526a0504
gʰ ĭ ɛu ˩	gjak	! qiāo / qiáo	巨嬌切	g j a k /⁴	i m n c t	lifting the feet high	w210b0903
gʰ ĭ ɛu ˩	gjew	qiáo	巨嬌切	g j e w /¹	i m n c t	bridge	w210b0701
gʰ ĭ ɛu ˩	gjew	qiáo	巨嬌切	g j e w /¹	i m n c t	high, tall	w210b0605
gʰ ĭ ɛu ˩	gjiew	! qiáo / qiào	渠遥切	g j/ji e w /¹	i m n c t	long tail-feather	w211a0607
gʰ ĭ ɛu ˩	gjiew	! qiáo / qiào	渠遥切	g j/ji e w /¹	i m n c t	raise	w211a0607
gʰ ĭ ɛu ˩	kjewX	! jué / qiáo	巨嬌切	k j e w /²	i m n c t	martial	w210b0903
gʰ ĭ ɛu ˩˥	gjiew	! qiáo / qiào	巨要切	g j/ji e w /¹	i m n c t	long tail-feather	w439a0302
gʰ ĭ ɛu ˩˥	gjiew	! qiáo / qiào	巨要切	g j/ji e w /¹	i m n c t	raise	w439a0302
gʰ ĭ ɛ ŋ ˩	gjieng	jǐng	巨成切	g j/ji e ŋ /¹	i m n c t	neck	w232a0403
gʰ ĭ ɛ ŋ ˩	kjiengX	jǐng	巨成切	k j/ji e ŋ /²	i m n c t	neck	w232a0403
j i ˩	thejH	! tì / yí	以脂切	tʰ e j /³	i n c t	mucus from the nose	w122a0905
j i ˩	yij	! yín / yí	以脂切	j i j /¹	i n c t	3rd earthly branch	w122a0301
j i ˩	yij	yí	以脂切	j i j /¹	i n c t	level, peaceful	w122a0302
j i ˩	yin	! yín / yí	以脂切	j i n /¹	i n c t	3rd earthly branch	w122a0301
j i ˩	zjenH	! xiàn / yí	以脂切	z j e n /³	i m n c t	covet, desire	w122a0804
j i ˩	zjenH	! xiàn / yí	以脂切	z j e n /³	i m n c t	surplus, affluence	w122a0804
j i ˩˥	dojH	! dài / yì	羊至切	d o j /³	i n c t	reach to	w409a0904
j w i ˥	ywij	wéi	以水切	j w i j /¹	i m n c t	low wall	w309b0402
j w i ˩	ywij	! yí / wéi	以追切	j w i j /¹	i m n c t	leave; reject	w124a0903
j w i ˩	ywij	wéi	以追切	j w i j /¹	i m n c t	(copula); namely	w124a0803
j w i ˩	ywij	wéi	以追切	j w i j /¹	i m n c t	low wall	w124a1001
j w i ˩	ywij	wéi	以追切	j w i j /¹	i m n c t	rope for tying	w124a0902
j w i ˩	ywijH	! wèi / wéi	以追切	j w i j /³	i m n c t	to present	w124a0903
j w i ˩˥	ywij	yí	以醉切	j w i j /¹	i m n c t	leave; reject	w409b0106
j w i ˩˥	ywijH	! wèi / yí	以醉切	j w i j /³	i m n c t	to present	w409b0106
j ĭ a k	lek	! lì / yào	以灼切	l e k /⁴	i n c t	oak	w528a0303
j ĭ a k	yak	! yuè / yào	以灼切	j a k /⁴	i n c t	flute; key; tube	w528a0304
j ĭ a k	yak	! yuè / yào	以灼切	j a k /⁴	i n c t	flute; key; tube	w528a0401
j ĭ a k	yak	! yuè / yào	以灼切	j a k /⁴	i n c t	leap, jump	w528a0102
j ĭ a k	yak	yào	以灼切	j a k /⁴	i n c t	medicinal plant	w528a0101
j ĭ a ŋ ˥	yang	! yáng / yǎng	餘兩切	j a ŋ /¹	i n c t	disease; suffer	w339b0402
j ĭ a ŋ ˥	yangX	yǎng	餘兩切	j a ŋ /²	i n c t	itch	w339b0403
j ĭ a ŋ ˥	yangX	yǎng	餘兩切	j a ŋ /²	i n c t	long, longing	w339b0401
j ĭ a ŋ ˥	yangX	yǎng	餘兩切	j a ŋ /²	i n c t	nourish, raise	w339b0401
j ĭ a ŋ ˥	zjang	! yáng / yǎng	餘兩切	z j a ŋ /¹	i m n c t	disease; harm	w339b0402
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	'great expanse of water'	w221a0302
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	bright	w220b0201
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	bright	w220b1002
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	ornament on a horse's forehead	w221a0305
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	poplar	w220b0802
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	raise	w220b0901
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	sheep	w220b1003
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	sore, ulcer	w221a0403
j ĭ a ŋ ˩	yang	yáng	與章切	j a ŋ /¹	i n c t	tossed by the wind	w220b1001
j ĭ a ŋ ˩	zjang	! xiáng / yáng	與章切	z j a ŋ /¹	i m n c t	scrutinize fully	w221a0204
j ĭ a ŋ ˩˥	yang	! yáng / yàng	餘亮切	j a ŋ /¹	i n c t	tossed by the wind	w443b0604
j ĭ a ŋ ˩˥	yangH	yàng	餘亮切	j a ŋ /³	i n c t	long	w443b0603
j ĭ a ŋ ˩˥	yangX	! yǎng / yàng	餘亮切	j a ŋ /²	i n c t	long, longing	w443b0702
j ĭ a ŋ ˩˥	yangX	! yǎng / yàng	餘亮切	j a ŋ /²	i n c t	nourish, raise	w443b0702
j ĭ a ˥	yæX	yě	羊者切	j æ /²	i n t	(final particle)	w338a1003
j ĭ a ˥	yæX	yě	羊者切	j æ /²	i n t	open country	w338a1001
j ĭ a ˩	yæ	! yá / xié	以遮切	j æ /¹	i n t	[interrogative particle]	w218a0302
j ĭ a ˩	zjo	! xú / xié	以遮切	z j o /¹	i m n t	walk slowly	w218a0302
j ĭ a ˩	zjæ	xié	以遮切	z j æ /¹	i m n t	awry	w218a0302
j ĭ a ˩˥	yæH	yè	羊謝切	j æ /³	i n t	night	w442b0906
j ĭ a ˩˥	zyek	! shè / yè	羊謝切	ʑ e k /⁴	i n c t	hit with bow and arrow	w442b1001
j ĭ a ˩˥	zyæH	! shè / yè	羊謝切	ʑ æ /³	i n t	shoot; archer	w442b1001
j ĭ e ˥	ye	! yí / yǐ	移爾切	j e /¹	i n t	ewer	w306b0604
j ĭ e ˩	ye	yí	弋支切	j e /¹	i n t	ewer	w117a0804
j ĭ e ˩	ye	yí	弋支切	j e /¹	i n t	move (v.)	w117a0401
j ĭ e ˩	ye	yí	弋支切	j e /¹	i n t	move (v.)	w117a0502
j ĭ e ˩	zyæ	! shé / yí	弋支切	ʑ æ /¹	i n t	snake	w117a0904
j ĭ e ˩˥	yeH	yì	以豉切	j e /³	i n t	easy	w405a0805
j ĭ e ˩˥	yek	yì	以豉切	j e k /⁴	i n c t	change; exchange	w405a0805
j ĭ o ˥	yo	! yú / yǔ	余吕切	j o /¹	i n t	I, we	w312b1005
j ĭ o ˥	yoH	! yù / yǔ	余吕切	j o /³	i n t	participate in	w312b1001
j ĭ o ˥	yoX	yǔ	余吕切	j o /²	i n t	give; for; and	w312b1001
j ĭ o ˥	yoX	yǔ	余吕切	j o /²	i n t	give; together with	w312b1005
j ĭ o ˩	yo	! yù / yú	以諸切	j o /¹	i n t	praise (v.)	w130b0307
j ĭ o ˩	yo	yú	以諸切	j o /¹	i n t	1sg., prob. a polite form	w130a0706
j ĭ o ˩	yo	yú	以諸切	j o /¹	i n t	I, we	w130b0501
j ĭ o ˩	yo	yú	以諸切	j o /¹	i n t	surplus	w130a0804
j ĭ o ˩	yo	yú	以諸切	j o /¹	i n t	vehicle, carriage; carry on shoulders	w130a1001
j ĭ o ˩	yoH	! yù / yú	以諸切	j o /³	i n t	a kind of crow	w130b0601
j ĭ o ˩	yoH	! yù / yú	以諸切	j o /³	i n t	joy	w130b0307
j ĭ o ˩	yoH	! yù / yú	以諸切	j o /³	i n t	participate in	w130b0306
j ĭ o ˩	yoH	! yù / yú	以諸切	j o /³	i n t	praise, renown	w130b0307
j ĭ o ˩	yoX	! yǔ / yú	以諸切	j o /²	i n t	give; for; and	w130b0306
j ĭ o ˩	yoX	! yǔ / yú	以諸切	j o /²	i n t	give; together with	w130b0501
j ĭ o ˩	yoX	yú	以諸切	j o /²	i n t	give	w130b0402
j ĭ o ˩˥	yo	! yú / yù	羊洳切	j o /¹	i n t	vehicle, carriage; carry on shoulders	w413a0603
j ĭ o ˩˥	yo	yù	羊洳切	j o /¹	i n t	praise (v.)	w413a0502
j ĭ o ˩˥	yoH	yù	羊洳切	j o /³	i n t	a kind of crow	w413a0604
j ĭ o ˩˥	yoH	yù	羊洳切	j o /³	i n t	go on inspection tour	w413a0305
j ĭ o ˩˥	yoH	yù	羊洳切	j o /³	i n t	go on tour	w413a0305
j ĭ o ˩˥	yoH	yù	羊洳切	j o /³	i n t	joy	w413a0502
j ĭ o ˩˥	yoH	yù	羊洳切	j o /³	i n t	participate in	w413a0805
j ĭ o ˩˥	yoH	yù	羊洳切	j o /³	i n t	praise, renown	w413a0502
j ĭ o ˩˥	yoX	! yǔ / yù	羊洳切	j o /²	i n t	give; for; and	w413a0805
j ĭ u k	tsyuwk	! zhōu / yù	余六切	tɕ u kʷ /⁴	i n c t	gruel	w505a0803
j ĭ u k	yuwk	yù	余六切	j u kʷ /⁴	i n c t	breed, produce	w505a0705
j ĭ u k	yuwk	yù	余六切	j u kʷ /⁴	i n c t	nourish	w505a0802
j ĭ u k	yuwk	yù	余六切	j u kʷ /⁴	i n c t	to produce	w505a0801
j ĭu ĕn ˥	ywinX	! yǔn / yǐn	余準切	j w i n /²	i m n c t	truly	w323a0902
j ĭu ĕn ˥	ywinX	yǐn	余準切	j w i n /²	i m n c t	govern; governor	w323a0702
j ĭu ĕt	kjwit	! jú / yù	餘律切	k ɥ/jwi i t /⁴	i m n c t	well-rope	w514a0806
j ĭu ĕt	ywit	yù	餘律切	j w i t /⁴	i m n c t	following, thereupon	w514a0704
j ĭu ĕt	ywit	yù	餘律切	j w i t /⁴	i m n c t	go awry, perverse	w514a0803
j ĭu ĕt	ywit	yù	餘律切	j w i t /⁴	i m n c t	well-rope	w514a0806
j ĭu ĕt	ywit	yù	餘律切	j w i t /⁴	i m n c t	writing stylus or brush	w514a0704
j ĭ u ŋ ˩	yuwng	róng	以戎切	j u ŋʷ /¹	i n c t	hot air, steam, heat	w109b0102
j ĭ u ŋ ˩	yuwng	róng	以戎切	j u ŋʷ /¹	i n c t	hot air, steam, heat	w109b0201
j ĭ u ŋ ˩	yuwng	róng	以戎切	j u ŋʷ /¹	i n c t	sacrifice on a following day	w109b0202
j ĭ u ˥	yuX	! yù / 	以主切	j u /²	i n t	increase	w316a0304
j ĭ u ˩	duw	yú	羊朱切	d u w /¹	i n c t	a kind of song	w134b0601
j ĭ u ˩	gwijH	yú	羊朱切	g w i j /³	i m n c t	basket	w134b0404
j ĭ u ˩	yu	yú	羊朱切	j u /¹	i n t	change (v.)	w134b0804
j ĭ u ˩	yu	yú	羊朱切	j u /¹	i n t	elm	w134b0707
j ĭ u ˩	yu	yú	羊朱切	j u /¹	i n t	enjoy	w134b0602
j ĭ u ˩	yu	yú	羊朱切	j u /¹	i n t	pass over	w134b0402
j ĭ u ˩	yu	yú	羊朱切	j u /¹	i n t	yes, agree; satisfied, at ease	w134b0507
j ĭ u ˩	zyu	yú	羊朱切	ʑ u /¹	i n t	snail	w134b0706
j ĭ u ˩˥	yuH	yù	羊戍切	j u /³	i n t	understand; metaphor	w414a0401
j ĭw o k	kuwk	! gǔ / yù	余蜀切	k u kʷ /⁴	i n c t	valley	w508b0607
j ĭw o k	yowk	yù	余蜀切	j o kʷ /⁴	i n c t	desire (v.)	w508b0502
j ĭw o ŋ ˥	yowngX	yǒng	余隴切	j o ŋʷ /²	i n c t	brave	w303b0703
j ĭw o ŋ ˥	yowngX	yǒng	余隴切	j o ŋʷ /²	i n c t	grave figures	w303b1004
j ĭw o ŋ ˥	yowngX	yǒng	余隴切	j o ŋʷ /²	i n c t	leap	w303b0802
j ĭw o ŋ ˩	yowng	! yōng / róng	餘封切	j o ŋʷ /¹	i n c t	hire	w114a0402
j ĭw o ŋ ˩	yowng	róng	餘封切	j o ŋʷ /¹	i n c t	appearance	w113b1008
j ĭw o ŋ ˩	yowng	róng	餘封切	j o ŋʷ /¹	i n c t	appearance	w114a0603
j ĭw o ŋ ˩	yowng	róng	餘封切	j o ŋʷ /¹	i n c t	contain	w113b1008
j ĭw o ŋ ˩	zjowngH	! sòng / róng	餘封切	z j o ŋʷ /³	i m n c t	praise	w114a0603
j ĭw o ŋ ˩˥	yowngH	yòng	余頌切	j o ŋʷ /³	i n c t	use (v.)	w403b0801
j ĭw ɛi ˩˥	ywejH	ruì	以芮切	j w e j /³	i m n c t	sharp	w419b0107
j ĭw ɛ k	ywek	yì	營隻切	j w e k /⁴	i m n c t	epidemic	w537a0603
j ĭw ɛ k	ywek	yì	營隻切	j w e k /⁴	i m n c t	war expedition; service	w537a0601
j ĭw ɛ n ˩	ywen	! yuán / yán	與專切	j w e n /¹	i m n c t	abandon; remove	w205b1003
j ĭw ɛ n ˩	ywen	yán	與專切	j w e n /¹	i m n c t	go along (a river); follow	w205b0902
j ĭw ɛ t	sywejH	! shuì / yuè	弋雪切	ɕ w e j /³	i m n c t	exhort	w526b0802
j ĭw ɛ t	sywet	! shuō / yuè	弋雪切	ɕ ɥ e /¹ t	i m n t i	speak, explain	w526b0802
j ĭw ɛ t	thwajH	! tuì / yuè	弋雪切	tʰ w a j /³	i m n c t	exuviae of insects or reptiles	w526b0901
j ĭw ɛ t	ywet	yuè	弋雪切	j w e t /⁴	i m n c t	count, sum up	w526b0803
j ĭw ɛ t	ywet	yuè	弋雪切	j w e t /⁴	i m n c t	exuviae of insects or reptiles	w526b0901
j ĭw ɛ t	ywet	yuè	弋雪切	j w e t /⁴	i m n c t	inspect	w526b0803
j ĭw ɛ t	ywet	yuè	弋雪切	j w e t /⁴	i m n c t	pleased	w526b0802
j ĭw ɛ ŋ ˥	ywengX	yǐng	餘頃切	j w e ŋ /²	i m n c t	point of an ear of grain	w343b0501
j ĭw ɛ ŋ ˩	yweng	yíng	余傾切	j w e ŋ /¹	i m n c t	demarcate, encamp	w230b1004
j ĭ ĕ m ˥	dom	tán	以荏切	d o m /¹	i n c t	deep, pond	w349b0203
